Metric,Value
Line Chart Average,0.00

Rechte Hand Box Plot Data Averages
Max Average,9.93
Q3 Average,7.45
Median Average,4.56
Q1 Average,2.27
Min Average,0.00

Linke Hand Box Plot Data Averages
Max Average,9.93
Q3 Average,5.53
Median Average,1.86
Q1 Average,0.44
Min Average,0.00

Rechte Hand Box Plot Data Averages
Max Average,0.00
Q3 Average,0.00
Median Average,0.00
Q1 Average,0.00
Min Average,0.00

Rechte Hand Box Plot Data Averages
Max Average,0.00
Q3 Average,0.00
Median Average,0.00
Q1 Average,0.00
Min Average,0.00
