Metric,Value
Line Chart Average,0.69

Beine Box Plot Data Averages
Min Average,0.69
Q1 Average,0.52
Median Average,0.69
Q3 Average,0.52
Max Average,0.69

Tremorbewegung Box Plot Data Averages
Min Average,0.69
Q1 Average,0.52
Median Average,0.69
Q3 Average,0.52
Max Average,0.69

Head Tremor Box Plot Data Averages
Min Average,0.69
Q1 Average,0.52
Median Average,0.69
Q3 Average,0.52
Max Average,0.69

Muskelhypertonie Box Plot Data Averages
Min Average,0.69
Q1 Average,0.52
Median Average,0.69
Q3 Average,0.52
Max Average,0.69
