Metric,Value
Line Chart Average,6.35

Right Hand Box Plot Data Averages
Max Average,9.46
Q3 Average,2.30
Median Average,0.70
Q1 Average,0.18
Min Average,0.00

Left Hand Box Plot Data Averages
Max Average,6.87
Q3 Average,0.43
Median Average,0.11
Q1 Average,0.01
Min Average,0.00

Head Box Plot Data Averages
Max Average,0.00
Q3 Average,0.00
Median Average,0.00
Q1 Average,0.00
Min Average,0.00

Right Leg Box Plot Data Averages
Max Average,9.93
Q3 Average,6.13
Median Average,2.84
Q1 Average,0.41
Min Average,0.00

Left Leg Box Plot Data Averages
Max Average,9.93
Q3 Average,2.04
Median Average,0.85
Q1 Average,0.06
Min Average,0.00
