Metric,Value
Line Chart Average,9.03

Beine Box Plot Data Averages
Min Average,1.37
Q1 Average,4.52
Median Average,7.79
Q3 Average,9.37
Max Average,9.61

Tremorbewegung Box Plot Data Averages
Min Average,1.37
Q1 Average,4.52
Median Average,7.79
Q3 Average,9.37
Max Average,9.61

Head Tremor Box Plot Data Averages
Min Average,1.37
Q1 Average,4.52
Median Average,7.79
Q3 Average,9.37
Max Average,9.61

Muskelhypertonie Box Plot Data Averages
Min Average,1.37
Q1 Average,4.52
Median Average,7.79
Q3 Average,9.37
Max Average,9.61
