Metric,Value
Line Chart Average,0.00

Rechte Hand Box Plot Data Averages
Max Average,9.93
Q3 Average,0.46
Median Average,0.05
Q1 Average,0.00
Min Average,0.00

Linke Hand Box Plot Data Averages
Max Average,4.36
Q3 Average,0.54
Median Average,0.03
Q1 Average,0.00
Min Average,0.00

Rechte Hand Box Plot Data Averages
Max Average,9.93
Q3 Average,0.46
Median Average,0.05
Q1 Average,0.00
Min Average,0.00

Rechte Hand Box Plot Data Averages
Max Average,9.93
Q3 Average,0.46
Median Average,0.05
Q1 Average,0.00
Min Average,0.00
