Metric,Value
Line Chart Average,1.47

Rechte Hand Box Plot Data Averages
Max Average,9.93
Q3 Average,1.03
Median Average,0.00
Q1 Average,0.00
Min Average,0.00

Linke Hand Box Plot Data Averages
Max Average,9.93
Q3 Average,5.10
Median Average,0.20
Q1 Average,0.00
Min Average,0.00

Rechte Hand Box Plot Data Averages
Max Average,9.93
Q3 Average,1.03
Median Average,0.00
Q1 Average,0.00
Min Average,0.00

Rechte Hand Box Plot Data Averages
Max Average,9.93
Q3 Average,1.03
Median Average,0.00
Q1 Average,0.00
Min Average,0.00
